obs,conductivity,conductivity_qc_executed,conductivity_qc_results,density,density_qc_executed,density_qc_results,deployment,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,profiler_timestamp,salinity,salinity_qc_executed,salinity_qc_results,suspect_timestamp,temperature,temperature_qc_executed,temperature_qc_results,time
"('82',)",3.48709988594,29,13,1026.79926185,29,13,14,3779218458.39,3779218533.08,3771215407.81,44.63218,-124.30797,0.0,internal_timestamp,72.8710021973,29,13,1562226607.81,33.8958015442,29,29,0,7.61899995804,29,29,3771215407.81
"('83',)",3.48709011078,29,13,1026.79920848,29,13,14,3779218458.39,3779218533.08,3771215407.87,44.63218,-124.30797,0.0,internal_timestamp,72.8769989014,29,29,1562226607.87,33.8956985474,29,29,0,7.61899995804,29,29,3771215407.87
"('84',)",3.4870800972,29,13,1026.79914893,29,13,14,3779218458.39,3779218533.08,3771215407.93,44.63218,-124.30797,0.0,internal_timestamp,72.8809967041,29,29,1562226607.93,33.8955993652,29,29,0,7.61899995804,29,29,3771215407.93
"('85',)",3.4870800972,29,13,1026.79921766,29,13,14,3779218458.39,3779218533.08,3771215407.99,44.63218,-124.30797,0.0,internal_timestamp,72.8789978027,29,29,1562226607.99,33.8956985474,29,29,0,7.61899995804,29,29,3771215407.99
"('86',)",3.48707008362,29,13,1026.79916805,29,13,14,3779218458.39,3779218533.08,3771215408.06,44.63218,-124.30797,0.0,internal_timestamp,72.8820037842,29,29,1562226608.06,33.8955993652,29,29,0,7.61889982224,29,29,3771215408.06
"('87',)",3.48705005646,29,13,1026.79902599,29,13,14,3779218458.39,3779218533.08,3771215408.12,44.63218,-124.30797,0.0,internal_timestamp,72.8850021362,29,29,1562226608.12,33.895401001,29,29,0,7.61889982224,29,29,3771215408.12
"('88',)",3.48704004288,29,13,1026.79900381,29,13,14,3779218458.39,3779218533.08,3771215408.21,44.63218,-124.30797,0.0,internal_timestamp,72.8939971924,29,29,1562226608.21,33.8953018188,29,29,1,7.61880016327,29,29,3771215408.21
"('89',)",3.4870300293,29,13,1026.79891372,29,13,14,3779218458.39,3779218533.08,3771215408.24,44.63218,-124.30797,0.0,internal_timestamp,72.891998291,29,29,1562226608.24,33.895198822,29,29,0,7.61880016327,29,29,3771215408.24
"('90',)",3.48702001572,29,13,1026.79892362,29,13,14,3779218458.39,3779218533.08,3771215408.31,44.63218,-124.30797,0.0,internal_timestamp,72.8909988403,29,29,1562226608.31,33.895198822,29,29,0,7.61870002747,29,29,3771215408.31
"('91',)",3.48702001572,29,13,1026.79894661,29,13,14,3779218458.39,3779218533.08,3771215408.37,44.63218,-124.30797,0.0,internal_timestamp,72.8960037231,29,29,1562226608.37,33.895198822,29,29,0,7.61870002747,29,29,3771215408.37
"('92',)",3.48702001572,29,13,1026.79906038,29,13,14,3779218458.39,3779218533.08,3771215408.43,44.63218,-124.30797,0.0,internal_timestamp,72.9000015259,29,29,1562226608.43,33.8953018188,29,29,0,7.61859989166,29,29,3771215408.43
"('93',)",3.4870300293,29,13,1026.79916584,29,13,14,3779218458.39,3779218533.08,3771215408.57,44.63218,-124.30797,0.0,internal_timestamp,72.90599823,29,29,1562226608.57,33.895401001,29,29,1,7.61859989166,29,29,3771215408.57
"('94',)",3.4870300293,29,13,1026.79927195,29,13,14,3779218458.39,3779218533.08,3771215408.58,44.63218,-124.30797,0.0,internal_timestamp,72.908996582,29,29,1562226608.58,33.8955001831,29,29,0,7.6185002327,29,29,3771215408.58
"('95',)",3.4870300293,29,13,1026.79935908,29,13,14,3779218458.39,3779218533.08,3771215408.62,44.63218,-124.30797,0.0,internal_timestamp,72.9110031128,29,29,1562226608.62,33.8955993652,29,29,0,7.6185002327,29,29,3771215408.62
"('96',)",3.4870300293,29,13,1026.79938276,29,13,14,3779218458.39,3779218533.08,3771215408.68,44.63218,-124.30797,0.0,internal_timestamp,72.9130020142,29,29,1562226608.68,33.8955993652,29,29,0,7.61840009689,29,29,3771215408.68
"('97',)",3.4870300293,29,13,1026.79940112,29,13,14,3779218458.39,3779218533.08,3771215408.74,44.63218,-124.30797,0.0,internal_timestamp,72.9169998169,29,29,1562226608.74,33.8955993652,29,29,0,7.61840009689,29,29,3771215408.74
"('98',)",3.4870300293,29,13,1026.79943788,29,13,14,3779218458.39,3779218533.08,3771215408.81,44.63218,-124.30797,0.0,internal_timestamp,72.9250030518,29,29,1562226608.81,33.8955993652,29,29,0,7.61840009689,29,29,3771215408.81
"('99',)",3.4870300293,29,13,1026.79945624,29,13,14,3779218458.39,3779218533.08,3771215408.87,44.63218,-124.30797,0.0,internal_timestamp,72.9290008545,29,29,1562226608.87,33.8955993652,29,29,0,7.61840009689,29,29,3771215408.87
